titulo,localizacion,latitude,longitude,price,energy_certification,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition,Price_predict,Var_Prices,%_rentabilidad
"Dúplex en venta en calle Merlo, 27","Cruz del Humilladero - Los Tilos, Málaga",36.7143969,-4.4393075,340000,7,3,2,0.0,1.0,1.0,0.0,1.0,76,0,0,1,200008.08846361932,-139991.91153638065,-41.17409162834725
"Chalet adosado en venta en calle Malasia, 37","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67104,-4.5181699,359000,2,4,3,1.0,1.0,1.0,0.0,0.0,190,0,0,1,416168.38799344,57168.38799344003,15.924342059454046
Casa o chalet independiente en venta en Cañada de Ceuta s/n,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6470284,-4.5082433,700000,4,3,2,1.0,1.0,1.0,1.0,0.0,455,0,0,1,691649.4041215777,-8350.59587842226,-1.1929422683460371
"Chalet adosado en venta en calle del Escritor Béjar Zambrana, 3","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6611221,-4.4958917,360000,0,4,3,1.0,1.0,1.0,1.0,0.0,220,0,0,1,468543.5242245197,108543.52422451972,30.15097895125548
"Casa o chalet independiente en venta en avenida Asunción, 3","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6538028,-4.4930439,700000,8,5,3,1.0,1.0,1.0,1.0,0.0,270,0,0,1,553591.5603011549,-146408.43969884515,-20.915491385549306
"Chalet adosado en venta en calle Árbol Blanco, 55","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.667023,-4.5010688,255000,4,3,2,0.0,1.0,1.0,0.0,0.0,178,0,1,0,283915.9864884466,28915.986488446597,11.33960254448886
"Chalet pareado en venta en Urb. adelfamar , Churriana-El Pizarrillo-La Noria-Guadalsol","Churriana, Málaga",36.6713789,-4.5070138,310000,8,3,3,0.0,1.0,1.0,0.0,0.0,251,0,0,1,421347.8495904356,111347.84959043562,35.91866115820504
"Piso en venta en avenida de San Javier, 67","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6633929,-4.4986666,240000,6,2,1,1.0,1.0,1.0,1.0,1.0,109,0,0,1,256002.16470067203,16002.16470067203,6.667568625280013
"Casa o chalet independiente en venta en calle Avempace, 10","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6485811,-4.5021544,270000,0,3,2,1.0,1.0,1.0,1.0,0.0,100,0,0,1,317891.7316674888,47891.73166748881,17.737678395366228
"Piso en venta en calle Heliomar, 1","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.661246,-4.5010769,190000,8,3,1,1.0,1.0,0.0,1.0,1.0,77,0,0,1,215995.45020776987,25995.45020776987,13.681815898826247
"Piso en venta en Urb. PRIVADA, La Luz","Carretera de Cádiz, Málaga",36.6939299,-4.4588624,260000,3,3,1,1.0,0.0,1.0,0.0,1.0,114,0,0,1,258520.8627062142,-1479.1372937858105,-0.5688989591483886
"Piso en venta en calle Decano Joaquín Wuester, 3","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6658835,-4.4731468,215000,5,3,2,0.0,1.0,1.0,0.0,1.0,85,0,0,1,271381.28547118604,56381.28547118604,26.223853707528395
Casa o chalet independiente en venta en calle Diputado Ignacio Huelin,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6520052,-4.4983126,449900,7,4,3,0.0,0.0,0.0,0.0,0.0,250,0,0,1,428999.524555102,-20900.47544489801,-4.645582450521896
"Chalet pareado en venta en CL ESTACIÓN, 20","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6678521,-4.5026877,85000,7,2,1,0.0,0.0,0.0,0.0,0.0,55,0,1,0,45166.31384718418,-39833.68615281582,-46.863160179783314
Chalet adosado en venta en calle ALBERTO PELÁEZ DOMÍNGUEZ,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6674941,-4.4980792,298000,7,4,2,0.0,0.0,1.0,1.0,0.0,231,0,0,1,377855.278916657,79855.27891665697,26.797073461965425
"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,291800,6,3,2,1.0,1.0,1.0,1.0,1.0,159,0,0,1,350700.1708929092,58900.17089290917,20.18511682416353
Piso en venta en calle Hespérides s/n,"Guadalmar, Málaga",36.6634751,-4.4611374,262181,4,2,1,1.0,1.0,0.0,1.0,1.0,102,0,0,1,252568.9755025059,-9612.024497494102,-3.666178898354229
"Ático en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,255900,8,2,2,0.0,1.0,1.0,1.0,1.0,149,1,0,0,278710.7766624391,22810.776662439108,8.913941642219267
"Piso en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,265900,8,3,2,0.0,1.0,1.0,1.0,1.0,119,1,0,0,272028.84639547765,6128.846395477653,2.304944112627925
"Piso en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,255900,8,3,2,0.0,1.0,1.0,1.0,1.0,165,1,0,0,321415.3822540343,65515.38225403428,25.601946953510858
"Piso en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,265900,8,3,2,0.0,1.0,1.0,1.0,1.0,113,1,0,0,265587.1243269741,-312.8756730258465,-0.1176666690582348
"Chalet adosado en venta en calle Avempace, 10","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6487253,-4.5018207,182100,6,2,1,0.0,1.0,0.0,0.0,0.0,83,0,0,1,205643.44128474596,23543.44128474593,12.928852984484312
"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,291800,6,3,2,1.0,1.0,1.0,1.0,1.0,159,0,0,1,350700.1708929092,58900.17089290917,20.18511682416353
Chalet adosado en venta en calle Avempace,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6499253,-4.5013207,182100,6,2,1,1.0,1.0,0.0,0.0,0.0,83,0,0,1,240199.52011193332,58099.52011193335,31.905282873110025
Chalet adosado en venta en calle Josefa Morales,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6692556,-4.5108488,256500,6,4,2,0.0,1.0,0.0,0.0,0.0,153,0,0,1,300443.31454233825,43943.31454233825,17.13189650773421
"Casa o chalet independiente en venta en avenida Ricardo Gross, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6530063,-4.4933191,750000,3,4,3,1.0,1.0,1.0,1.0,0.0,551,0,0,1,837175.4577111751,87175.45771117508,11.62339436149001
"Chalet adosado en venta en calle Avempace, 10","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6487253,-4.5018207,182100,4,3,1,0.0,1.0,1.0,0.0,0.0,83,0,0,1,264183.6165422946,82083.61654229462,45.076121110540704
"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,297100,4,3,2,1.0,1.0,1.0,1.0,1.0,116,0,0,1,307018.38570445776,9918.38570445776,3.338399765889519
"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,291800,4,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1,309165.6263939589,17365.626393958926,5.95120849690162
"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,297100,4,3,2,1.0,1.0,1.0,1.0,1.0,156,0,0,1,349963.199494496,52863.19949449599,17.793066137494442
"Piso en venta en calle Hespérides, 17","Guadalmar, Málaga",36.6637115,-4.4612152,262181,4,1,1,1.0,0.0,0.0,1.0,1.0,108,0,0,1,202714.72396850583,-59466.27603149414,-22.681382720904317
Chalet adosado en venta en calle Josefa Morales,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6731556,-4.5081488,256500,6,4,2,0.0,1.0,0.0,0.0,0.0,153,0,0,1,295664.56916952133,39164.56916952133,15.26883788285432
"Piso en venta en calle La Gioconda, 32","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6657797,-4.5058803,252000,8,2,2,0.0,1.0,1.0,1.0,1.0,104,1,0,0,249726.3108445853,-2273.6891554147005,-0.90225760135504
"Piso en venta en calle La Gioconda, 32","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6657797,-4.5058803,215000,8,2,2,0.0,1.0,1.0,1.0,1.0,84,1,0,0,228253.90394957364,13253.903949573636,6.164606488173784
"Piso en venta en calle La Gioconda, 32","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6657797,-4.5058803,225000,8,2,2,0.0,1.0,1.0,1.0,1.0,82,1,0,0,226106.66326007247,1106.6632600724697,0.4918503378099865
"Piso en venta en calle La Gioconda, 32","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6657797,-4.5058803,275000,8,3,2,0.0,1.0,1.0,1.0,1.0,107,1,0,0,278473.85195441544,3473.851954415441,1.2632188925147056
"Ático en venta en calle La Gioconda, 32","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6657797,-4.5058803,358000,8,3,2,0.0,1.0,1.0,1.0,1.0,111,1,0,0,282768.3333334178,-75231.66666658223,-21.01443202977157
Chalet adosado en venta en avenida de China s/n,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6719544,-4.5160087,355000,8,4,3,1.0,1.0,1.0,1.0,0.0,250,1,0,0,488490.5014606118,133490.50146061182,37.60295815791882
Chalet adosado en venta en avenida de China s/n,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6719544,-4.5160087,335000,8,4,3,1.0,1.0,1.0,1.0,0.0,235,1,0,0,472386.1962893456,137386.19628934562,41.01080486249123
Chalet adosado en venta en avenida de China s/n,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6719544,-4.5160087,345000,8,4,3,1.0,1.0,1.0,1.0,0.0,235,1,0,0,472386.1962893456,127386.19628934562,36.92353515633207
Chalet adosado en venta en avenida de China s/n,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6719544,-4.5160087,362000,8,4,3,1.0,1.0,1.0,1.0,0.0,250,1,0,0,488490.5014606118,126490.50146061182,34.94212747530713
"Ático en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,375900,8,4,2,0.0,1.0,1.0,1.0,1.0,248,1,0,0,436052.5509439409,60152.55094394088,16.002274792216248
Piso en venta en Hesperides,"Guadalmar, Málaga",36.6639614,-4.4614042,299000,7,3,2,1.0,1.0,1.0,1.0,1.0,95,0,0,1,310007.5424093157,11007.542409315703,3.681452310807929
"Ático en venta en calle Decano López Arjona, 33","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6732957,-4.5112724,189500,8,2,1,0.0,1.0,0.0,0.0,0.0,150,1,0,0,256925.2598773092,67425.2598773092,35.580612072458685
Casa o chalet en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6632593,-4.5028602,264500,7,3,3,0.0,0.0,1.0,0.0,0.0,200,0,0,1,355919.31603091955,91419.31603091957,34.5630684426917
"Piso en venta en calle La Gioconda, 32","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6657797,-4.5058803,257000,8,3,2,0.0,1.0,1.0,1.0,1.0,103,1,0,0,274179.3705754131,17179.370575413108,6.684579990433116
"Piso en venta en calle La Gioconda, 32","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6657797,-4.5058803,258000,8,2,2,0.0,1.0,1.0,1.0,1.0,83,1,0,0,227180.2836048156,-30819.7163951844,-11.945626509761397
"Piso en venta en calle La Gioconda, 32","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6657797,-4.5058803,293000,8,3,2,0.0,1.0,1.0,1.0,1.0,101,1,0,0,272032.12988591194,-20967.87011408806,-7.156269663511283
"Ático en venta en calle La Gioconda, 32","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6657797,-4.5058803,389000,8,4,2,0.0,1.0,1.0,1.0,1.0,118,1,0,0,315810.35582225025,-73189.64417774975,-18.814818554691453
"Ático en venta en calle La Gioconda, 32","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6657797,-4.5058803,344000,8,3,2,0.0,1.0,1.0,1.0,1.0,105,1,0,0,276326.6112649143,-67673.38873508573,-19.672496725315614
"Piso en venta en calle La Gioconda, 32","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6657797,-4.5058803,318000,8,3,2,1.0,0.0,1.0,1.0,1.0,104,1,0,0,281291.9803021848,-36708.01969781518,-11.543402420696596
"Casa o chalet independiente en venta en avenida Marquesa Casa Loring, 7","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6508438,-4.4906787,790000,4,5,3,1.0,1.0,1.0,1.0,0.0,552,0,1,0,805411.0101649761,15411.01016497612,1.950760780376724
"Piso en venta en calle Miami, 7","La Carihuela - Los Nidos, Torremolinos",36.6107298,-4.5038413,175000,0,1,1,1.0,1.0,1.0,1.0,1.0,50,0,0,1,266019.2444806993,91019.2444806993,52.01099684611389
Piso en venta en calle Nepal,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6689494,-4.5176987,334000,2,2,2,1.0,1.0,1.0,1.0,1.0,143,0,0,1,284725.56475006044,-49274.43524993956,-14.752824925131604
Chalet pareado en venta en calle Diputado Ignacio Huelin,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6546359,-4.4973702,445000,3,4,3,1.0,1.0,1.0,0.0,0.0,300,0,0,1,580781.5084548444,135781.50845484436,30.512698529178508
Casa o chalet independiente en venta en calle Decano Juan Antonio Rando,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.668864,-4.4762231,215000,4,3,1,0.0,0.0,1.0,0.0,0.0,171,0,0,1,313738.3292860985,98738.32928609848,45.92480431911557
"Ático en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,375900,8,4,2,1.0,1.0,1.0,1.0,1.0,236,1,0,0,459480.0517167002,83580.0517167002,22.23465062960899
"Piso en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,279900,8,3,2,0.0,1.0,1.0,1.0,1.0,118,1,0,0,270955.2260507345,-8944.77394926548,-3.1957034473974564
"Chalet adosado en venta en calle Indonesia , 39","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6719099,-4.51791,299900,8,3,3,1.0,0.0,1.0,1.0,0.0,139,1,0,0,311965.7901674062,12065.7901674062,4.023271146184128
"Piso en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,249900,8,3,2,0.0,1.0,1.0,1.0,1.0,117,1,0,0,269881.6057059765,19981.605705976486,7.995840618638049
Ático en venta en calle Madre Asunción Soler s/n,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.660194,-4.49976,385000,1,3,2,0.0,1.0,1.0,1.0,1.0,116,1,0,0,312264.05751252174,-72735.94248747826,-18.8924525941502
"Piso en venta en calle Churriana de la vega esqueino calle malaga, 1","Zona de San Cayetano, Churriana de la Vega",37.1450549,-3.6416323,172670,8,3,2,0.0,1.0,1.0,1.0,1.0,125,1,0,0,168468.42364826798,-4201.576351732016,-2.433298402578337
"Piso en venta en calle Churriana de la vega esqueino calle malaga, 1","Zona de San Cayetano, Churriana de la Vega",37.1450549,-3.6416323,165877,8,3,2,0.0,1.0,1.0,1.0,1.0,111,1,0,0,153437.73882175982,-12439.26117824018,-7.499087382964594
"Piso en venta en calle Churriana de la vega esqueino calle malaga, 1","Zona de San Cayetano, Churriana de la Vega",37.1450549,-3.6416323,170297,8,3,2,0.0,1.0,1.0,1.0,1.0,112,1,0,0,154511.35916651785,-15785.640833482146,-9.269476757360462
Piso en venta en calle Hespérides,"Guadalmar, Málaga",36.6620393,-4.460432,262181,5,2,1,1.0,0.0,0.0,1.0,1.0,102,0,0,1,224275.9955805838,-37905.00441941619,-14.457571074721734
"Piso en venta en calle Churriana de la vega esqueino calle malaga, 1","Zona de San Cayetano, Churriana de la Vega",37.1450549,-3.6416323,159320,8,3,2,1.0,0.0,1.0,1.0,1.0,119,1,0,0,168065.6909617931,8745.690961793065,5.489386744786006
"Piso en venta en calle Churriana de la vega esqueino calle malaga, 1","Zona de San Cayetano, Churriana de la Vega",37.1450549,-3.6416323,165787,8,3,2,1.0,0.0,1.0,1.0,1.0,125,1,0,0,174507.41303029656,8720.413030296564,5.260010151758922
"Piso en venta en calle Churriana de la vega esqueino calle malaga, 1","Zona de San Cayetano, Churriana de la Vega",37.1450549,-3.6416323,176746,8,3,2,1.0,0.0,1.0,1.0,1.0,116,1,0,0,164844.82992754877,-11901.170072451234,-6.733487644671582
"Piso en venta en calle Churriana de la vega esqueino calle malaga, 1","Zona de San Cayetano, Churriana de la Vega",37.1450549,-3.6416323,188400,8,3,2,0.0,1.0,1.0,1.0,1.0,130,1,0,0,173836.52537202835,-14563.47462797165,-7.73008207429493
"Piso en venta en calle Churriana de la vega esqueino calle malaga, 1","Zona de San Cayetano, Churriana de la Vega",37.1450549,-3.6416323,175599,8,3,2,0.0,1.0,1.0,1.0,1.0,118,1,0,0,160953.08123502135,-14645.918764978647,-8.340547933062629
"Casa o chalet independiente en venta en carretera de Coin, 108","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6617978,-4.5131005,422500,4,6,4,1.0,1.0,1.0,1.0,0.0,296,0,0,1,593931.6459908187,171431.64599081874,40.57553751261982
Casa o chalet independiente en venta en avenida Marquesa Casa Loring,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6532991,-4.48858,799900,3,6,4,1.0,1.0,1.0,1.0,0.0,380,0,0,1,721920.9090737998,-77979.09092620015,-9.748604941392692
Piso en venta en calle Mercedes Formica,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.661331,-4.5033686,291800,7,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1,303398.01456962526,11598.014569625258,3.974645157513797
Piso en venta en calle Mercedes Formica,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.659031,-4.5043686,297100,7,3,2,1.0,1.0,1.0,1.0,0.0,116,0,0,1,305445.0473820567,8345.047382056713,2.8088345277875173
Casa o chalet independiente en venta en calle Manuel Curros Enríquez,"Guadalmar, Málaga",36.6667599,-4.4617824,698000,4,6,3,1.0,1.0,1.0,1.0,0.0,351,0,0,1,674344.55351758,-23655.446482419968,-3.389032447338104
Piso en venta en calle Madre Asunción Soler s/n,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.660194,-4.49976,315000,1,3,2,0.0,1.0,1.0,1.0,1.0,109,1,0,0,304748.7150992602,-10251.284900739787,-3.2543761589650124
Piso en venta en calle Madre Asunción Soler s/n,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.660194,-4.49976,278000,1,2,2,0.0,1.0,1.0,1.0,1.0,94,1,0,0,263117.7298524231,-14882.270147576928,-5.353334585459327
Piso en venta en calle Madre Asunción Soler s/n,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.660194,-4.49976,319000,1,3,2,0.0,1.0,1.0,1.0,1.0,109,1,0,0,304748.7150992602,-14251.284900739787,-4.467487429698994
"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,291800,4,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1,309165.6263939589,17365.626393958926,5.95120849690162
"Chalet adosado en venta en calle Josefa Morales, 39","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6712418,-4.5089442,256500,4,3,1,0.0,1.0,0.0,0.0,0.0,179,0,0,1,289598.0076455027,33098.00764550269,12.903706684406504
Chalet adosado en venta en calle Malasia,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6698723,-4.5194574,320000,1,3,3,1.0,1.0,1.0,1.0,0.0,140,0,0,1,319685.33380001783,-314.6661999821663,-0.0983331874944269
Chalet adosado en venta en calle Isabel Barreto,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6617583,-4.5044688,595000,4,4,3,1.0,1.0,1.0,0.0,0.0,226,0,0,1,481018.3038178086,-113981.69618219136,-19.156587593645607
"Casa o chalet independiente en venta en calle Uganda, 45","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6646899,-4.5194822,640000,8,4,2,1.0,1.0,1.0,1.0,0.0,310,0,0,1,514710.023437351,-125289.976562649,-19.576558837913907
Dúplex en venta en calle Tanzania,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6611372,-4.5199706,367500,7,3,2,1.0,1.0,1.0,1.0,0.0,123,0,0,1,295706.8018516153,-71793.19814838469,-19.53556412200944
Chalet adosado en venta en calle ESCRITOR BÉJAR ZAMBRANA,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6625221,-4.4978917,360000,7,4,3,0.0,1.0,1.0,1.0,0.0,202,0,0,1,399944.6221893579,39944.62218935788,11.095728385932745
